Date;AUD;CAD;EUR;JPY;NZD;NOK;SWK;SWF;GBP
1991-06;-1,41;-0,97;-2,82;-3,48;-2,53;-3,51;-2,25;-4,18;-3,22
1991-07;-1,47;-0,95;-2,80;-3,10;-2,26;-2,91;-2,31;-4,14;-3,24
1991-08;-1,89;-0,90;-2,76;-3,42;-1,59;-2,78;-2,09;-4,18;-3,25
1991-09;-1,26;-1,01;-2,90;-3,01;-0,49;-3,33;-2,43;-4,16;-3,32
1991-10;-1,09;-1,23;-3,26;-2,90;-1,76;-2,99;-3,31;-3,69;-3,25
1991-11;-0,81;-0,99;-3,43;-2,68;-1,61;-2,58;-4,49;-3,77;-3,21
1991-12;-1,04;-1,22;-4,20;-2,81;-1,21;-3,69;-6,78;-4,55;-4,06
1992-01;-0,36;-1,82;-4,51;-2,83;-1,23;-4,25;-5,79;-4,15;-4,17
1992-02;-0,55;-1,87;-4,84;-3,14;-1,17;-4,16;-5,76;-4,68;-4,41
1992-03;-0,85;-1,68;-5,04;-2,71;-1,33;-4,12;-5,41;-5,78;-4,17
1992-04;-0,86;-1,38;-5,39;-2,65;-1,41;-4,63;-6,14;-5,97;-4,86
1992-05;-0,71;-0,75;-5,04;-2,46;-1,49;-4,62;-5,62;-6,13;-4,50
1992-06;-0,80;-0,48;-5,01;-2,43;-1,34;-4,12;-5,46;-5,59;-4,39
1992-07;-0,79;-0,92;-5,18;-2,18;-1,71;-4,31;-6,03;-5,10;-4,67
1992-08;-0,01;-0,56;-4,88;-2,24;-1,48;-5,86;-8,56;-4,00;-3,93
1992-09;-0,17;-4,42;-4,67;-2,40;-1,81;-15,56;-21,99;-3,90;-3,29
1992-10;-0,34;-2,83;-4,97;-2,26;-1,72;-4,15;-4,88;-3,84;-2,94
1992-11;0,68;-3,20;-4,38;-1,75;-1,06;-17,90;-5,68;-3,75;-1,93
1992-12;-0,25;-2,34;-5,02;-2,55;-3,89;-8,85;-4,90;-4,12;-2,12
1993-01;-0,61;-1,95;-4,96;-2,38;-3,48;-4,79;-4,09;-3,54;-1,79
1993-02;-0,69;-0,98;-4,86;-2,16;-2,89;-4,08;-3,22;-3,76;-1,54
1993-03;-0,22;-0,17;-4,41;-1,85;-2,34;-4,24;-3,77;-3,54;-1,07
1993-04;-0,45;-0,22;-4,02;-1,50;-2,32;-3,06;-2,84;-3,32;-1,08
1993-05;-0,27;0,02;-3,93;-1,16;-1,90;-3,34;-2,55;-3,28;-0,48
1993-06;-0,59;0,30;-3,79;-1,19;-1,49;-2,45;-3,04;-3,38;-0,88
1993-07;-0,60;0,62;-3,05;-1,42;-0,96;-2,22;-2,98;-2,88;-1,00
1993-08;-0,60;-0,03;-3,03;-1,12;-1,25;-2,82;-3,02;-3,05;-1,45
1993-09;-0,08;0,17;-2,91;-0,72;-1,22;-2,97;-2,48;-2,57;-1,34
1993-10;-0,32;0,24;-2,77;-0,71;-1,07;-1,98;-2,43;-2,63;-1,23
1993-11;-0,10;0,69;-2,68;-0,77;-1,89;-2,01;-2,47;-2,77;-0,74
1993-12;-0,54;0,48;-2,84;-1,53;-1,25;-3,26;-3,10;-2,78;-1,59
1994-01;-1,02;0,21;-2,95;-1,34;-1,39;-2,19;-3,48;-2,86;-1,75
1994-02;-0,11;0,38;-2,46;-0,84;-1,60;-1,86;-2,87;-2,32;-0,84
1994-03;0,28;-0,72;-2,27;-0,65;-3,79;-2,36;-2,54;-2,54;-0,56
1994-04;0,64;-0,65;-1,97;-1,19;-2,40;-1,67;-2,06;-2,16;-0,19
1994-05;1,24;-0,39;-1,29;-0,95;-0,90;-0,87;-1,23;-2,28;0,42
1994-06;2,00;0,34;-0,44;-0,38;-1,95;0,40;0,24;-1,65;1,11
1994-07;1,77;0,81;-0,90;-0,39;-1,27;-0,27;0,72;-2,04;0,42
1994-08;1,37;1,30;-0,20;-0,15;-0,55;0,50;1,44;-1,20;1,22
1994-09;2,24;1,56;0,16;-0,08;-0,36;0,32;1,38;-0,87;1,05
1994-10;1,15;1,28;-0,12;-0,31;-1,50;0,27;0,67;-0,97;0,54
1994-11;1,51;1,75;0,29;0,45;-1,45;0,20;1,37;-0,50;1,05
1994-12;0,60;1,20;0,50;0,39;-1,98;0,50;1,12;-0,57;0,71
1995-01;0,77;-0,41;0,91;0,64;-1,94;1,01;1,56;-0,22;0,61
1995-02;1,08;-0,13;0,99;0,80;-2,08;1,64;1,37;0,26;0,81
1995-03;1,44;-0,56;1,54;1,18;-1,81;1,76;1,56;0,47;1,09
1995-04;1,11;-0,44;1,54;1,11;-2,13;1,19;1,83;0,37;0,88
1995-05;1,04;-0,01;1,83;1,51;-2,23;0,91;1,52;0,84;1,24
1995-06;1,25;0,83;2,13;1,67;-1,57;1,96;1,54;1,52;1,38
1995-07;1,18;0,98;1,93;1,65;-1,73;1,73;1,15;1,54;0,98
1995-08;1,01;1,34;1,77;1,69;-2,34;1,58;0,56;0,97;0,75
1995-09;0,92;1,35;2,15;2,24;-1,82;1,39;0,32;1,39;0,81
1995-10;0,75;1,08;2,27;2,25;-1,15;1,47;0,23;1,75;1,12
1995-11;1,01;1,65;2,28;2,59;-1,25;1,04;0,14;1,38;1,04
1995-12;0,83;1,60;2,20;2,52;-1,60;0,93;-0,26;1,89;0,91
1996-01;0,42;1,63;2,25;2,39;-1,68;0,55;-0,33;2,15;0,85
1996-02;0,25;1,49;2,33;1,93;-2,31;1,18;0,36;2,00;0,95
1996-03;0,41;1,79;2,19;1,87;-2,11;1,25;0,78;1,44;1,15
